1734457790.558685 server started (10575): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1734457790.558731 on Linux 6.8.0-49-generic #49-Ubuntu SMP PREEMPT_DYNAMIC Mon Nov  4 02:06:24 UTC 2024
1734457790.558748 using libevent 2.1.12-stable poll
1734457790.558756 using ncurses 6.4 20240113
1734457790.601780 cmd_parse_build_commands 0:3 0:27: C-h
1734457790.601784 cmd_parse_build_commands 0:3 0:28 0:0: copy-mode
1734457790.601787 cmd_parse_build_commands 0:3 0:28 0:1: -q
1734457790.601790 cmd_parse_build_commands 0:3 0:28 1:0: send-keys
1734457790.601793 cmd_parse_build_commands 0:3 0:28 1:1: -l
1734457790.601796 cmd_parse_build_commands 0:3 0:28 1:2: --
1734457790.601800 cmd_parse_build_commands 0:3 0:28 1:3: #{q:mouse_hyperlink}
1734457790.601803 cmd_parse_build_commands 0:3 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1734457790.601807 cmd_parse_build_commands 0:3 0:30: h
1734457790.601810 cmd_parse_build_commands 0:3 0:31 0:0: copy-mode
1734457790.601813 cmd_parse_build_commands 0:3 0:31 0:1: -q
1734457790.601817 cmd_parse_build_commands 0:3 0:31 1:0: set-buffer
1734457790.601824 cmd_parse_build_commands 0:3 0:31 1:1: --
1734457790.601827 cmd_parse_build_commands 0:3 0:31 1:2: #{q:mouse_hyperlink}
1734457790.601831 cmd_parse_build_commands 0:3 0:32: 
1734457790.601834 cmd_parse_build_commands 0:3 0:33: Horizontal Split
1734457790.601838 cmd_parse_build_commands 0:3 0:34: h
1734457790.601841 cmd_parse_build_commands 0:3 0:35 0:0: split-window
1734457790.601844 cmd_parse_build_commands 0:3 0:35 0:1: -h
1734457790.601848 cmd_parse_build_commands 0:3 0:36: Vertical Split
1734457790.601851 cmd_parse_build_commands 0:3 0:37: v
1734457790.601855 cmd_parse_build_commands 0:3 0:38 0:0: split-window
1734457790.601858 cmd_parse_build_commands 0:3 0:38 0:1: -v
1734457790.601861 cmd_parse_build_commands 0:3 0:39: 
1734457790.601865 cmd_parse_build_commands 0:3 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1734457790.601868 cmd_parse_build_commands 0:3 0:41: u
1734457790.601871 cmd_parse_build_commands 0:3 0:42 0:0: swap-pane
1734457790.601874 cmd_parse_build_commands 0:3 0:42 0:1: -U
1734457790.601879 cmd_parse_build_commands 0:3 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1734457790.601883 cmd_parse_build_commands 0:3 0:44: d
1734457790.601886 cmd_parse_build_commands 0:3 0:45 0:0: swap-pane
1734457790.601889 cmd_parse_build_commands 0:3 0:45 0:1: -D
1734457790.601893 cmd_parse_build_commands 0:3 0:46: #{?pane_marked_set,,-}Swap Marked
1734457790.601896 cmd_parse_build_commands 0:3 0:47: s
1734457790.601899 cmd_parse_build_commands 0:3 0:48 0:0: swap-pane
1734457790.601903 cmd_parse_build_commands 0:3 0:49: 
1734457790.601906 cmd_parse_build_commands 0:3 0:50: Kill
1734457790.601909 cmd_parse_build_commands 0:3 0:51: X
1734457790.601912 cmd_parse_build_commands 0:3 0:52 0:0: kill-pane
1734457790.601915 cmd_parse_build_commands 0:3 0:53: Respawn
1734457790.601918 cmd_parse_build_commands 0:3 0:54: R
1734457790.601922 cmd_parse_build_commands 0:3 0:55 0:0: respawn-pane
1734457790.601925 cmd_parse_build_commands 0:3 0:55 0:1: -k
1734457790.601928 cmd_parse_build_commands 0:3 0:56: #{?pane_marked,Unmark,Mark}
1734457790.601931 cmd_parse_build_commands 0:3 0:57: m
1734457790.601934 cmd_parse_build_commands 0:3 0:58 0:0: select-pane
1734457790.601938 cmd_parse_build_commands 0:3 0:58 0:1: -m
1734457790.601941 cmd_parse_build_commands 0:3 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1734457790.601944 cmd_parse_build_commands 0:3 0:60: z
1734457790.601948 cmd_parse_build_commands 0:3 0:61 0:0: resize-pane
1734457790.601951 cmd_parse_build_commands 0:3 0:61 0:1: -Z
1734457790.601957 cmd_parse_build_commands 0:0: display-menu
1734457790.601960 cmd_parse_build_commands 0:1: -t=
1734457790.601964 cmd_parse_build_commands 0:2: -xM
1734457790.601967 cmd_parse_build_commands 0:3: -yM
1734457790.601970 cmd_parse_build_commands 0:4: -T
1734457790.601973 cmd_parse_build_commands 0:5: #[align=centre]#{pane_index} (#{pane_id})
1734457790.601977 cmd_parse_build_commands 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1734457790.601980 cmd_parse_build_commands 0:7: <
1734457790.601983 cmd_parse_build_commands 0:8 0:0: send
1734457790.601987 cmd_parse_build_commands 0:8 0:1: -X
1734457790.601990 cmd_parse_build_commands 0:8 0:2: history-top
1734457790.601993 cmd_parse_build_commands 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1734457790.601996 cmd_parse_build_commands 0:10: >
1734457790.602000 cmd_parse_build_commands 0:11 0:0: send
1734457790.602003 cmd_parse_build_commands 0:11 0:1: -X
1734457790.602007 cmd_parse_build_commands 0:11 0:2: history-bottom
1734457790.602010 cmd_parse_build_commands 0:12: 
1734457790.602014 cmd_parse_build_commands 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1734457790.602017 cmd_parse_build_commands 0:14: C-r
1734457790.602021 cmd_parse_build_commands 0:15 0:0: if
1734457790.602024 cmd_parse_build_commands 0:15 0:1: -F
1734457790.602027 cmd_parse_build_commands 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1734457790.602030 cmd_parse_build_commands 0:15 0:3: copy-mode -t=
1734457790.602042 cmd_parse_build_commands 0:15 1:0: send
1734457790.602045 cmd_parse_build_commands 0:15 1:1: -Xt=
1734457790.602048 cmd_parse_build_commands 0:15 1:2: search-backward
1734457790.602052 cmd_parse_build_commands 0:15 1:3: #{q:mouse_word}
1734457790.602055 cmd_parse_build_commands 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1734457790.602058 cmd_parse_build_commands 0:17: C-y
1734457790.602062 cmd_parse_build_commands 0:18 0:0: copy-mode
1734457790.602065 cmd_parse_build_commands 0:18 0:1: -q
1734457790.602068 cmd_parse_build_commands 0:18 1:0: send-keys
1734457790.602072 cmd_parse_build_commands 0:18 1:1: -l
1734457790.602075 cmd_parse_build_commands 0:18 1:2: --
1734457790.602079 cmd_parse_build_commands 0:18 1:3: #{q:mouse_word}
1734457790.602083 cmd_parse_build_commands 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1734457790.602086 cmd_parse_build_commands 0:20: c
1734457790.602090 cmd_parse_build_commands 0:21 0:0: copy-mode
1734457790.602093 cmd_parse_build_commands 0:21 0:1: -q
1734457790.602096 cmd_parse_build_commands 0:21 1:0: set-buffer
1734457790.602099 cmd_parse_build_commands 0:21 1:1: --
1734457790.602102 cmd_parse_build_commands 0:21 1:2: #{q:mouse_word}
1734457790.602106 cmd_parse_build_commands 0:22: #{?mouse_line,Copy Line,}
1734457790.602109 cmd_parse_build_commands 0:23: l
1734457790.602112 cmd_parse_build_commands 0:24 0:0: copy-mode
1734457790.602115 cmd_parse_build_commands 0:24 0:1: -q
1734457790.602118 cmd_parse_build_commands 0:24 1:0: set-buffer
1734457790.602121 cmd_parse_build_commands 0:24 1:1: --
1734457790.602125 cmd_parse_build_commands 0:24 1:2: #{q:mouse_line}
1734457790.602128 cmd_parse_build_commands 0:25: 
1734457790.602131 cmd_parse_build_commands 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1734457790.602134 cmd_parse_build_commands 0:27: C-h
1734457790.602138 cmd_parse_build_commands 0:28 0:0: copy-mode
1734457790.602141 cmd_parse_build_commands 0:28 0:1: -q
1734457790.602145 cmd_parse_build_commands 0:28 1:0: send-keys
1734457790.602148 cmd_parse_build_commands 0:28 1:1: -l
1734457790.602151 cmd_parse_build_commands 0:28 1:2: --
1734457790.602154 cmd_parse_build_commands 0:28 1:3: #{q:mouse_hyperlink}
1734457790.602158 cmd_parse_build_commands 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1734457790.602161 cmd_parse_build_commands 0:30: h
1734457790.602165 cmd_parse_build_commands 0:31 0:0: copy-mode
1734457790.602168 cmd_parse_build_commands 0:31 0:1: -q
1734457790.602171 cmd_parse_build_commands 0:31 1:0: set-buffer
1734457790.602174 cmd_parse_build_commands 0:31 1:1: --
1734457790.602178 cmd_parse_build_commands 0:31 1:2: #{q:mouse_hyperlink}
1734457790.602181 cmd_parse_build_commands 0:32: 
1734457790.602184 cmd_parse_build_commands 0:33: Horizontal Split
1734457790.602187 cmd_parse_build_commands 0:34: h
1734457790.602191 cmd_parse_build_commands 0:35 0:0: split-window
1734457790.602194 cmd_parse_build_commands 0:35 0:1: -h
1734457790.602198 cmd_parse_build_commands 0:36: Vertical Split
1734457790.602201 cmd_parse_build_commands 0:37: v
1734457790.602205 cmd_parse_build_commands 0:38 0:0: split-window
1734457790.602208 cmd_parse_build_commands 0:38 0:1: -v
1734457790.602211 cmd_parse_build_commands 0:39: 
1734457790.602215 cmd_parse_build_commands 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1734457790.602218 cmd_parse_build_commands 0:41: u
1734457790.602221 cmd_parse_build_commands 0:42 0:0: swap-pane
1734457790.602225 cmd_parse_build_commands 0:42 0:1: -U
1734457790.602229 cmd_parse_build_commands 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1734457790.602232 cmd_parse_build_commands 0:44: d
1734457790.602235 cmd_parse_build_commands 0:45 0:0: swap-pane
1734457790.602238 cmd_parse_build_commands 0:45 0:1: -D
1734457790.602241 cmd_parse_build_commands 0:46: #{?pane_marked_set,,-}Swap Marked
1734457790.602244 cmd_parse_build_commands 0:47: s
1734457790.602248 cmd_parse_build_commands 0:48 0:0: swap-pane
1734457790.602251 cmd_parse_build_commands 0:49: 
1734457790.602260 cmd_parse_build_commands 0:50: Kill
1734457790.602271 cmd_parse_build_commands 0:51: X
1734457790.602275 cmd_parse_build_commands 0:52 0:0: kill-pane
1734457790.602278 cmd_parse_build_commands 0:53: Respawn
1734457790.602281 cmd_parse_build_commands 0:54: R
1734457790.602287 cmd_parse_build_commands 0:55 0:0: respawn-pane
1734457790.602290 cmd_parse_build_commands 0:55 0:1: -k
1734457790.602294 cmd_parse_build_commands 0:56: #{?pane_marked,Unmark,Mark}
1734457790.602297 cmd_parse_build_commands 0:57: m
1734457790.602300 cmd_parse_build_commands 0:58 0:0: select-pane
1734457790.602303 cmd_parse_build_commands 0:58 0:1: -m
1734457790.602307 cmd_parse_build_commands 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1734457790.602310 cmd_parse_build_commands 0:60: z
1734457790.602313 cmd_parse_build_commands 0:61 0:0: resize-pane
1734457790.602317 cmd_parse_build_commands 0:61 0:1: -Z
1734457790.602322 cmd_parse_build_commands 0:0: send
1734457790.602325 cmd_parse_build_commands 0:1: -X
1734457790.602328 cmd_parse_build_commands 0:2: history-top
1734457790.602335 args_parse_flags: next -X
1734457790.602338 args_parse_flags: -X
1734457790.602341 args_parse_flags: next history-top
1734457790.602344 args_parse: flags end at 2 of 3
1734457790.602348 args_parse: 2 = history-top (type STRING)
1734457790.602354 cmd_parse_build_commands: send-keys -X history-top
1734457790.602358 cmd_parse_build_commands 0:0: send
1734457790.602360 cmd_parse_build_commands 0:1: -X
1734457790.602364 cmd_parse_build_commands 0:2: history-bottom
1734457790.602368 args_parse_flags: next -X
1734457790.602371 args_parse_flags: -X
1734457790.602374 args_parse_flags: next history-bottom
1734457790.602377 args_parse: flags end at 2 of 3
1734457790.602380 args_parse: 2 = history-bottom (type STRING)
1734457790.602384 cmd_parse_build_commands: send-keys -X history-bottom
1734457790.602388 cmd_parse_build_commands 0:0: if
1734457790.602391 cmd_parse_build_commands 0:1: -F
1734457790.602395 cmd_parse_build_commands 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1734457790.602398 cmd_parse_build_commands 0:3: copy-mode -t=
1734457790.602401 cmd_parse_build_commands 1:0: send
1734457790.602404 cmd_parse_build_commands 1:1: -Xt=
1734457790.602407 cmd_parse_build_commands 1:2: search-backward
1734457790.602410 cmd_parse_build_commands 1:3: #{q:mouse_word}
1734457790.602414 args_parse_flags: next -F
1734457790.602417 args_parse_flags: -F
1734457790.602420 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1734457790.602423 args_parse: flags end at 2 of 4
1734457790.602427 args_parse: 2 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1} (type STRING)
1734457790.602430 args_parse: 3 = copy-mode -t= (type STRING)
1734457790.602435 args_parse_flags: next -Xt=
1734457790.602438 args_parse_flags: -X
1734457790.602442 args_parse_flag_argument: -t = =
1734457790.602445 args_parse_flags: next search-backward
1734457790.602448 args_parse: flags end at 2 of 4
1734457790.602451 args_parse: 2 = search-backward (type STRING)
1734457790.602454 args_parse: 3 = #{q:mouse_word} (type STRING)
1734457790.602464 cmd_parse_build_commands: if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}"
1734457790.602468 cmd_parse_build_commands 0:0: copy-mode
1734457790.602471 cmd_parse_build_commands 0:1: -q
1734457790.602474 cmd_parse_build_commands 1:0: send-keys
1734457790.602477 cmd_parse_build_commands 1:1: -l
1734457790.602480 cmd_parse_build_commands 1:2: --
1734457790.602484 cmd_parse_build_commands 1:3: #{q:mouse_word}
1734457790.602487 args_parse_flags: next -q
1734457790.602490 args_parse_flags: -q
1734457790.602493 args_parse: flags end at 2 of 2
1734457790.602498 args_parse_flags: next -l
1734457790.602501 args_parse_flags: -l
1734457790.602504 args_parse_flags: next --
1734457790.602507 args_parse: flags end at 3 of 4
1734457790.602511 args_parse: 3 = #{q:mouse_word} (type STRING)
1734457790.602516 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1734457790.602520 cmd_parse_build_commands 0:0: copy-mode
1734457790.602529 cmd_parse_build_commands 0:1: -q
1734457790.602532 cmd_parse_build_commands 1:0: set-buffer
1734457790.602535 cmd_parse_build_commands 1:1: --
1734457790.602538 cmd_parse_build_commands 1:2: #{q:mouse_word}
1734457790.602542 args_parse_flags: next -q
1734457790.602544 args_parse_flags: -q
1734457790.602548 args_parse: flags end at 2 of 2
1734457790.602553 args_parse_flags: next --
1734457790.602556 args_parse: flags end at 2 of 3
1734457790.602559 args_parse: 2 = #{q:mouse_word} (type STRING)
1734457790.602566 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1734457790.602571 cmd_parse_build_commands 0:0: copy-mode
1734457790.602574 cmd_parse_build_commands 0:1: -q
1734457790.602577 cmd_parse_build_commands 1:0: set-buffer
1734457790.602580 cmd_parse_build_commands 1:1: --
1734457790.602583 cmd_parse_build_commands 1:2: #{q:mouse_line}
1734457790.602587 args_parse_flags: next -q
1734457790.602590 args_parse_flags: -q
1734457790.602593 args_parse: flags end at 2 of 2
1734457790.602598 args_parse_flags: next --
1734457790.602601 args_parse: flags end at 2 of 3
1734457790.602604 args_parse: 2 = #{q:mouse_line} (type STRING)
1734457790.602609 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1734457790.602614 cmd_parse_build_commands 0:0: copy-mode
1734457790.602617 cmd_parse_build_commands 0:1: -q
1734457790.602620 cmd_parse_build_commands 1:0: send-keys
1734457790.602623 cmd_parse_build_commands 1:1: -l
1734457790.602626 cmd_parse_build_commands 1:2: --
1734457790.602629 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1734457790.602633 args_parse_flags: next -q
1734457790.602636 args_parse_flags: -q
1734457790.602639 args_parse: flags end at 2 of 2
1734457790.602643 args_parse_flags: next -l
1734457790.602646 args_parse_flags: -l
1734457790.602649 args_parse_flags: next --
1734457790.602652 args_parse: flags end at 3 of 4
1734457790.602655 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1734457790.602660 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1734457790.602665 cmd_parse_build_commands 0:0: copy-mode
1734457790.602668 cmd_parse_build_commands 0:1: -q
1734457790.602672 cmd_parse_build_commands 1:0: set-buffer
1734457790.602675 cmd_parse_build_commands 1:1: --
1734457790.602678 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1734457790.602681 args_parse_flags: next -q
1734457790.602684 args_parse_flags: -q
1734457790.602688 args_parse: flags end at 2 of 2
1734457790.602692 args_parse_flags: next --
1734457790.602695 args_parse: flags end at 2 of 3
1734457790.602698 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1734457790.602703 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1734457790.602708 cmd_parse_build_commands 0:0: split-window
1734457790.602711 cmd_parse_build_commands 0:1: -h
1734457790.602716 args_parse_flags: next -h
1734457790.602719 args_parse_flags: -h
1734457790.602722 args_parse: flags end at 2 of 2
1734457790.602725 cmd_parse_build_commands: split-window -h
1734457790.602730 cmd_parse_build_commands 0:0: split-window
1734457790.602733 cmd_parse_build_commands 0:1: -v
1734457790.602738 args_parse_flags: next -v
1734457790.602740 args_parse_flags: -v
1734457790.602744 args_parse: flags end at 2 of 2
1734457790.602747 cmd_parse_build_commands: split-window -v
1734457790.602752 cmd_parse_build_commands 0:0: swap-pane
1734457790.602755 cmd_parse_build_commands 0:1: -U
1734457790.602759 args_parse_flags: next -U
1734457790.602762 args_parse_flags: -U
1734457790.602765 args_parse: flags end at 2 of 2
1734457790.602769 cmd_parse_build_commands: swap-pane -U
1734457790.602774 cmd_parse_build_commands 0:0: swap-pane
1734457790.602777 cmd_parse_build_commands 0:1: -D
1734457790.602781 args_parse_flags: next -D
1734457790.602784 args_parse_flags: -D
1734457790.602788 args_parse: flags end at 2 of 2
1734457790.602791 cmd_parse_build_commands: swap-pane -D
1734457790.602795 cmd_parse_build_commands 0:0: swap-pane
1734457790.602800 args_parse: flags end at 1 of 1
1734457790.602809 cmd_parse_build_commands: swap-pane
1734457790.602813 cmd_parse_build_commands 0:0: kill-pane
1734457790.602817 args_parse: flags end at 1 of 1
1734457790.602821 cmd_parse_build_commands: kill-pane
1734457790.602825 cmd_parse_build_commands 0:0: respawn-pane
1734457790.602828 cmd_parse_build_commands 0:1: -k
1734457790.602832 args_parse_flags: next -k
1734457790.602835 args_parse_flags: -k
1734457790.602839 args_parse: flags end at 2 of 2
1734457790.602842 cmd_parse_build_commands: respawn-pane -k
1734457790.602851 cmd_parse_build_commands 0:0: select-pane
1734457790.602854 cmd_parse_build_commands 0:1: -m
1734457790.602858 args_parse_flags: next -m
1734457790.602861 args_parse_flags: -m
1734457790.602865 args_parse: flags end at 2 of 2
1734457790.602868 cmd_parse_build_commands: select-pane -m
1734457790.602873 cmd_parse_build_commands 0:0: resize-pane
1734457790.602876 cmd_parse_build_commands 0:1: -Z
1734457790.602880 args_parse_flags: next -Z
1734457790.602883 args_parse_flags: -Z
1734457790.602886 args_parse: flags end at 2 of 2
1734457790.602890 cmd_parse_build_commands: resize-pane -Z
1734457790.602894 args_parse_flags: next -t=
1734457790.602897 args_parse_flag_argument: -t = =
1734457790.602900 args_parse_flags: next -xM
1734457790.602903 args_parse_flag_argument: -x = M
1734457790.602906 args_parse_flags: next -yM
1734457790.602909 args_parse_flag_argument: -y = M
1734457790.602912 args_parse_flags: next -T
1734457790.602916 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1734457790.602919 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1734457790.602922 args_parse: flags end at 6 of 62
1734457790.602926 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1734457790.602929 args_parse: 7 = < (type STRING)
1734457790.602935 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1734457790.602939 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1734457790.602942 args_parse: 10 = > (type STRING)
1734457790.602947 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1734457790.602950 args_parse: 12 =  (type STRING)
1734457790.602955 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1734457790.602958 args_parse: 14 = C-r (type STRING)
1734457790.602968 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" (type COMMANDS)
1734457790.602972 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1734457790.602975 args_parse: 17 = C-y (type STRING)
1734457790.602981 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1734457790.602985 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1734457790.602989 args_parse: 20 = c (type STRING)
1734457790.602993 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1734457790.602997 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1734457790.603000 args_parse: 23 = l (type STRING)
1734457790.603005 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1734457790.603008 args_parse: 25 =  (type STRING)
1734457790.603013 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1734457790.603016 args_parse: 27 = C-h (type STRING)
1734457790.603022 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1734457790.603026 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1734457790.603029 args_parse: 30 = h (type STRING)
1734457790.603034 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1734457790.603038 args_parse: 32 =  (type STRING)
1734457790.603041 args_parse: 33 = Horizontal Split (type STRING)
1734457790.603045 args_parse: 34 = h (type STRING)
1734457790.603049 args_parse: 35 = split-window -h (type COMMANDS)
1734457790.603058 args_parse: 36 = Vertical Split (type STRING)
1734457790.603062 args_parse: 37 = v (type STRING)
1734457790.603066 args_parse: 38 = split-window -v (type COMMANDS)
1734457790.603069 args_parse: 39 =  (type STRING)
1734457790.603073 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1734457790.603076 args_parse: 41 = u (type STRING)
1734457790.603081 args_parse: 42 = swap-pane -U (type COMMANDS)
1734457790.603084 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1734457790.603088 args_parse: 44 = d (type STRING)
1734457790.603092 args_parse: 45 = swap-pane -D (type COMMANDS)
1734457790.603096 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1734457790.603100 args_parse: 47 = s (type STRING)
1734457790.603104 args_parse: 48 = swap-pane (type COMMANDS)
1734457790.603107 args_parse: 49 =  (type STRING)
1734457790.603111 args_parse: 50 = Kill (type STRING)
1734457790.603114 args_parse: 51 = X (type STRING)
1734457790.603118 args_parse: 52 = kill-pane (type COMMANDS)
1734457790.603122 args_parse: 53 = Respawn (type STRING)
1734457790.603125 args_parse: 54 = R (type STRING)
1734457790.603129 args_parse: 55 = respawn-pane -k (type COMMANDS)
1734457790.603133 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1734457790.603137 args_parse: 57 = m (type STRING)
1734457790.603141 args_parse: 58 = select-pane -m (type COMMANDS)
1734457790.603145 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1734457790.603149 args_parse: 60 = z (type STRING)
1734457790.603153 args_parse: 61 = resize-pane -Z (type COMMANDS)
1734457790.603230 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1734457790.603236 args_parse_flags: next -n
1734457790.603240 args_parse_flags: -n
1734457790.603243 args_parse_flags: next M-MouseDown3Pane
1734457790.603246 args_parse: flags end at 2 of 4
1734457790.603250 args_parse: 2 = M-MouseDown3Pane (type STRING)
